Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);;% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.);% trains en retard à cause infrastructure ferroviaire (maintenance, travaux);% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux);% trains en retard à cause matériel roulant;% trains en retard à cause gestion en gare et réutilisation de matériel;% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances);Nombre trains en retard > 15min;Retard moyen trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Période;Retard pour causes externes;Retard à cause infrastructure ferroviaire;Retard à cause gestion trafic;Retard à cause matériel roulant;Retard à cause gestion en gare et réutilisation de matériel;Retard à cause prise en compte voyageurs
2015;1.0;National;PARIS LYON;MULHOUSE VILLE;166.732283465;254.0;0.0;;20.0;22.05;1.94488188976;;22.0;33.0909090909;3.54330708661;;0.181818181818;0.227272727273;0.363636363636;0.0454545454545;0.181818181818;0.0;16.0;40.75;6.0;2.0;2015-01;18.1818181818;22.7272727273;36.3636363636;4.54545454545;18.1818181818;0.0
2015;1.0;National;NIMES;PARIS LYON;177.227739726;292.0;0.0;;26.0;12.7692307692;1.63698630137;;35.0;29.6285714286;2.72602739726;;0.411764705882;0.294117647059;0.0882352941176;0.117647058824;0.0;0.0882352941176;25.0;36.24;11.0;3.0;2015-01;41.1764705882;29.4117647059;8.823529411760001;11.764705882400001;0.0;8.823529411760001
2015;1.0;National;DOUAI;PARIS NORD;81.6368421053;190.0;0.0;;10.0;18.2;1.22631578947;;32.0;12.75;1.21578947368;;0.1;0.366666666667;0.3;0.166666666667;0.0666666666667;0.0;4.0;39.75;2.0;1.0;2015-01;10.0;36.666666666699996;30.0;16.6666666667;6.66666666667;0.0
2015;1.0;National;PARIS NORD;DOUAI;68.6902173913;184.0;0.0;;8.0;19.25;1.0597826087;;21.0;25.0952380952;3.02173913043;;0.25;0.2;0.15;0.1;0.2;0.1;7.0;56.4285714286;4.0;1.0;2015-01;25.0;20.0;15.0;10.0;20.0;10.0
2015;1.0;National;PARIS MONTPARNASSE;BREST;268.933333333;210.0;0.0;;9.0;15.6666666667;0.828571428571;;10.0;33.2;2.25238095238;;0.3;0.2;0.1;0.3;0.0;0.1;10.0;33.2;4.0;1.0;2015-01;30.0;20.0;10.0;30.0;0.0;10.0
2015;1.0;National;PARIS MONTPARNASSE;QUIMPER;273.223602484;161.0;0.0;;3.0;13.0;0.484472049689;;5.0;21.8;1.01242236025;;0.6;0.0;0.2;0.2;0.0;0.0;5.0;21.8;0.0;0.0;2015-01;60.0;0.0;20.0;20.0;0.0;0.0
2015;1.0;National;LYON PART DIEU;MONTPELLIER;110.268786127;348.0;2.0;;74.0;24.5;5.96242774566;;57.0;38.8771929825;7.62138728324;;0.25;0.214285714286;0.232142857143;0.160714285714;0.107142857143;0.0357142857143;42.0;48.1904761905;22.0;12.0;2015-01;25.0;21.428571428599998;23.2142857143;16.071428571400002;10.714285714299999;3.57142857143
2015;1.0;International;GENEVE;PARIS LYON;173.051612903;155.0;0.0;;21.0;18.1904761905;3.50967741935;;16.0;43.125;3.56129032258;;0.00645161290323;0.0322580645161;0.0322580645161;0.00645161290323;0.0193548387097;0.00645161290323;13.0;50.3076923;7.0;3.0;2015-01;0.645161290323;3.22580645161;3.22580645161;0.645161290323;1.93548387097;0.645161290323
2015;1.0;National;PARIS EST;STRASBOURG;141.681818182;418.0;0.0;;16.0;21.125;0.952153110048;;30.0;26.4333333333;2.49043062201;;0.230769230769;0.423076923077;0.0384615384615;0.115384615385;0.0769230769231;0.115384615385;16.0;38.1875;7.0;4.0;2015-01;23.076923076899998;42.3076923077;3.84615384615;11.5384615385;7.692307692310001;11.5384615385
2015;1.0;National;PARIS LYON;PERPIGNAN;301.952229299;157.0;0.0;;14.0;16.7857142857;1.68152866242;;18.0;40.2777777778;5.45859872611;;0.444444444444;0.111111111111;0.222222222222;0.0;0.166666666667;0.0555555555556;18.0;40.2777777778;11.0;3.0;2015-01;44.4444444444;11.1111111111;22.2222222222;0.0;16.6666666667;5.555555555560001
